City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Aswan,EG,52.12,clear sky,24.0934,32.907,Nuba Nile
507,Cardoso,BR,70.32,overcast clouds,-20.0819,-49.9142,EmilioTur Pescaria
511,Moshupa,BW,67.14,clear sky,-24.7782,25.4155,Sim's Bed & Breakfast
513,Santa Isabel Do Rio Negro,BR,72.43,overcast clouds,-0.4139,-65.0192,Hotel GSA
518,El Sauzal,MX,56.41,overcast clouds,31.9,-116.6833,Hotel Las Rosas & Spa
519,Quthing,LS,56.35,clear sky,-30.4,27.7003,Mountainside Hotel
521,Sakaiminato,JP,59.09,few clouds,35.55,133.2333,Matsuya
524,Jacareacanga,BR,71.13,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
528,Matara,LK,79.72,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
529,Richards Bay,ZA,70.02,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
530,The Valley,AI,77.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
531,Rodrigues Alves,BR,70.36,light rain,-7.738,-72.6509,Pousada Aconchego
534,Lazaro Cardenas,MX,72.41,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
535,Huaral,PE,71.47,broken clouds,-11.495,-77.2078,Hostal El Tiempo
536,Punta De Piedra,VE,74.73,scattered clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
540,Tefe,BR,72.12,moderate rain,-3.3542,-64.7114,Aracati Hotel
541,Liberty,US,62.98,overcast clouds,31.8335,-81.5004,Sasser’s Mobile Home Park
543,Carinhanha,BR,74.32,broken clouds,-14.3047,-43.765,Hotel União
545,Viedma,AR,69.04,clear sky,-40.8135,-62.9967,Hotel Cristal
546,Englewood,US,51.44,scattered clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
550,Rocha,UY,60.28,clear sky,-34.4833,-54.3333,Hotel Arrarte
551,San Cristobal,VE,67.37,broken clouds,7.7669,-72.225,Pirineos
553,Belmonte,BR,76.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
555,Faya,SA,61.32,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
556,Qui Nhon,VN,79.61,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
557,Otukpo,NG,75.76,broken clouds,7.1913,8.1329,Queen s Hotel
558,Kelo,TD,78.62,few clouds,9.3086,15.8066,Plantation de Kelo
559,Zhangye,CN,61.5,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
562,Astorga,BR,65.98,few clouds,-23.2325,-51.6656,Rancho Jads
563,Nisia Floresta,BR,77.81,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
566,Hede,CN,67.5,scattered clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
569,Paracuru,BR,79.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
570,San Juan,AR,74.88,clear sky,-31.5375,-68.5364,Hotel Provincial
571,Rio Grande,BR,67.95,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
573,Coxim,BR,73.31,overcast clouds,-18.5067,-54.76,Hotel Avenida
574,Gat,IL,50.77,broken clouds,31.61,34.7642,OlusHome
575,Xai-Xai,MZ,74.95,moderate rain,-25.0519,33.6442,Complexo da Familia
578,Namibe,AO,70.27,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
581,Lompoc,US,54.93,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
582,Libreville,GA,75.9,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
584,Bonthe,SL,74.05,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
586,Forio,IT,51.82,clear sky,40.7342,13.8646,Hotel Terme Providence
591,Wonthaggi,AU,71.82,broken clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
592,Diffa,NE,69.67,few clouds,13.3154,12.6113,ProDAF/Diffa
595,Jalu,LY,50.61,clear sky,29.0331,21.5482,صاحبة الفخامة
596,Guatire,VE,75.2,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
599,Santiago,CL,70.99,clear sky,-33.4569,-70.6483,Hotel Panamericano
600,Esfahan,IR,56.84,clear sky,32.6572,51.6776,Abbasi Hotel
601,Mount Pleasant,US,63.0,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
602,Paez,CO,63.9,broken clouds,5.1011,-73.0512,Hotel Nueva Dinastia
603,Pimenta Bueno,BR,71.96,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
604,San Ignacio,BZ,70.27,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
605,Black River,JM,73.02,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
608,Whyalla,AU,76.89,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
609,Semme,FR,50.41,scattered clouds,46.1963,1.5007,Inter-Hotel Alexia
610,Koganei,JP,69.42,few clouds,35.6914,139.5011,Hotel Daiwa Kokubunji
615,Jerez,GT,66.38,scattered clouds,14.1,-89.75,Auto hotel Esmeralda
616,Sayyan,YE,60.01,scattered clouds,15.1718,44.3244,ملاطف ابوحورية
617,Mareeba,AU,77.47,light rain,-17.0,145.4333,Trinity Plains Tourist Park
620,Beihai,CN,71.2,moderate rain,21.4833,109.1,21 Degree Hostel
621,Ningxiang,CN,57.58,overcast clouds,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
625,Ascension,US,59.27,few clouds,30.2169,-90.9001,Highland Inn
627,Tarrafal,CV,69.06,broken clouds,15.2833,-23.7667,Hotel Ixola
628,Acari,PE,73.74,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
638,Kijang,KR,59.31,clear sky,35.2442,129.2139,Samyang Beach Villa
640,San Quintin,MX,58.3,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
641,Potam,MX,66.27,few clouds,27.6,-110.3833,Ejido La Pimienta
642,Loudeac,FR,51.73,broken clouds,48.1783,-2.7543,Le France Hotel Restaurant
643,Canon City,US,55.38,clear sky,38.441,-105.2424,Travel Inn Motel
646,Alta Floresta,BR,70.79,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
647,Tucuman,AR,62.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
651,Treinta Y Tres,UY,58.32,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
652,Dunmore Town,BS,75.78,clear sky,25.5,-76.65,Coral Sands Hotel
653,Venado Tuerto,AR,68.77,clear sky,-33.7456,-61.9688,La Bianca.
657,Sal Rei,CV,67.73,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
659,Acapulco,MX,75.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
660,Niimi,JP,70.39,clear sky,34.9833,133.4667,備中路
662,Unai,BR,69.04,broken clouds,-16.3575,-46.9061,Hotel Regente
669,Mwene-Ditu,CD,68.56,overcast clouds,-7.0,23.45,Hôtel Kamas
670,Itarema,BR,74.7,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
673,Muisne,EC,74.71,moderate rain,0.6,-80.0333,Quinta Samay
