City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Berlevag,NO,2022-03-09 09:02:41,70.8578,29.0864,0.59,80,100,4.58
267,Port Hedland,AU,2022-03-09 08:58:42,-20.3167,118.5667,34.03,66,100,7.2
268,Coquimbo,CL,2022-03-09 08:53:16,-29.9533,-71.3436,13.85,94,0,1.03
269,Hutchinson,US,2022-03-09 09:02:42,38.0608,-97.9298,-0.4,83,0,4.63
270,Saint-Jean-De-Braye,FR,2022-03-09 09:02:43,47.913,1.9771,9.96,81,40,4.12
271,Port Hardy,CA,2022-03-09 09:02:43,50.6996,-127.4199,4.86,88,6,2.17
272,Mogadishu,SO,2022-03-09 09:02:44,2.0371,45.3438,29.16,65,17,8.23
273,Camabatela,AO,2022-03-09 09:02:44,-8.1881,15.375,25.87,65,95,0.12
274,Kadoma,JP,2022-03-09 09:02:44,34.7333,135.5833,10.99,41,23,5.24
275,Siuna,NI,2022-03-09 09:02:45,13.7332,-84.7773,19.41,98,2,1.23
276,Mananjary,MG,2022-03-09 09:02:45,-21.2167,48.3333,28.49,74,89,2.35
277,Karratha,AU,2022-03-09 09:01:17,-20.7377,116.8463,33.34,53,18,4.32
278,Hervey Bay,AU,2022-03-09 09:02:46,-25.2986,152.8535,26.06,86,83,4.81
279,San Isidro,PE,2022-03-09 09:02:46,-12.1167,-77.05,21.39,30,100,0.45
280,Kabompo,ZM,2022-03-09 09:02:47,-13.5927,24.2008,26.35,66,76,1.44
281,Rongcheng,CN,2022-03-09 09:02:47,30.634,117.8517,22.2,43,0,0.8
282,Altay,CN,2022-03-09 09:02:47,47.8667,88.1167,2.37,66,24,1.05
283,Metro,ID,2022-03-09 09:02:48,-5.1131,105.3067,28.61,74,94,3.23
284,Dapaong,TG,2022-03-09 09:02:48,10.8639,0.205,31.35,6,8,4.96
285,Crib Point,AU,2022-03-09 09:02:10,-38.35,145.2,18.53,71,4,7.9
286,Soe,ID,2022-03-09 09:02:49,-9.8607,124.284,21.53,94,97,1.45
287,Maragogi,BR,2022-03-09 09:02:45,-9.0122,-35.2225,24.3,84,78,1.4
288,Clemson,US,2022-03-09 09:02:49,34.6834,-82.8374,12.71,92,100,2.57
289,Dubbo,AU,2022-03-09 08:58:18,-32.25,148.6167,24.07,53,53,3.6
290,Price,US,2022-03-09 09:02:50,39.5994,-110.8107,0.62,74,59,1.47
291,Constitucion,CL,2022-03-09 09:01:37,-35.3333,-72.4167,13.83,92,0,3.0
